episode,avg_delay,avg_queue,max_queue,throughput
1,18.679125,3.3645833333333335,11,1224
2,13.439916666666669,2.8557916666666667,11,1376
3,17.400166666666667,3.166083333333333,11,1264
4,13.32525,2.7593333333333336,11,1372
5,14.284541666666666,2.872,11,1373
6,20.403166666666664,3.293125,11,1285
7,16.38745833333333,2.97175,11,1337
8,12.339,2.6682083333333333,11,1393
9,21.79041666666667,3.1455,11,1280
10,15.578583333333333,3.016875,11,1357
11,10.855166666666666,2.592083333333333,11,1397
12,10.790958333333334,2.5645833333333337,11,1375
13,9.395625,2.348583333333333,11,1442
14,9.456583333333333,2.4315833333333337,11,1458
15,8.335333333333333,2.2505,11,1463
16,10.566666666666666,2.5233333333333334,11,1447
17,9.204083333333331,2.3717083333333333,11,1418
18,9.622958333333331,2.370666666666667,11,1448
19,9.753333333333334,2.4471666666666665,11,1420
20,12.533625,2.738458333333333,11,1390
21,10.338375,2.468625,11,1430
22,11.375208333333333,2.6525,11,1406
23,14.595791666666669,2.9204583333333334,11,1374
24,12.02125,2.680875,11,1379
25,11.233583333333332,2.523958333333333,11,1445
26,8.602916666666665,2.215166666666667,11,1486
27,9.456041666666666,2.3462916666666667,11,1445
28,8.912375,2.2953333333333332,11,1455
29,8.474541666666665,2.250875,11,1471
30,11.015291666666668,2.5619583333333336,11,1427
31,10.483083333333333,2.472125,11,1428
32,11.486458333333333,2.577125,11,1413
33,11.18175,2.479041666666667,11,1398
34,14.157875,2.722125,11,1383
35,13.546625,2.7092083333333337,11,1393
36,10.110375,2.403375,11,1416
37,10.685208333333334,2.51775,11,1409
38,9.681333333333335,2.410791666666667,11,1441
39,9.804791666666668,2.3890833333333332,11,1432
40,11.283833333333332,2.657,11,1402
41,11.035875,2.577416666666667,11,1440
42,9.546916666666666,2.3758333333333335,11,1444
43,11.992083333333332,2.699625,11,1371
44,9.663958333333332,2.433333333333333,11,1427
45,11.539291666666665,2.632875,11,1376
46,12.727291666666668,2.786833333333333,11,1411
47,13.490291666666666,2.867625,11,1328
48,17.461791666666663,3.147791666666667,11,1283
49,12.986958333333334,2.619583333333333,11,1416
50,7.557666666666667,2.183958333333333,11,1492
